time;X_value;Y_value;Z_value
0,5267;-1,86035;1,82683;10,00567
0,5299;-1,69036;1,95133;9,47654
0,5306;-1,5036;2,06865;9,31373
0,5372;-1,18995;2,50202;8,75347
0,5373;-1,17559;2,50202;8,62418
0,5373;-1,17559;2,58582;8,62418
0,5398;-1,01757;2,90426;8,51883
0,5404;-0,91701;3,12692;8,51883
0,5436;-0,81405;3,51958;8,62897
0,544;-0,83321;3,86675;8,67685
0,5462;-0,95292;3,929;8,72474
0,5481;-1,47727;3,62972;8,9067
0,5507;-2,3823;3,20833;9,20838
0,5591;-4,11815;0,73504;9,67287
0,5592;-4,11815;0,73504;9,67287
0,5592;-4,11815;0,73504;9,67287
0,5601;-4,46053;0,39506;9,67048
0,5601;-4,6401;0,33041;9,61062
0,5619;-4,69996;0,31604;9,57471
0,5659;-4,77658;0,37111;9,51724
0,5659;-4,81728;0,44294;9,35443
0,5685;-4,83404;0,47646;9,22514
0,5703;-4,77658;0,46449;8,84445
0,5762;-4,29054;0,32562;7,70478
0,5762;-4,29054;0,32562;7,70478
0,5765;-4,16604;0,30407;7,42943
0,5784;-4,07745;0,28971;7,15649
0,5809;-3,93858;0,22267;6,47891
0,5823;-3,84281;0,1676;5,84682
0,5847;-3,83323;0,13169;5,5619
0,5864;-3,82605;0,16281;5,11417
0,5888;-3,86436;0,2107;4,95854
0,5907;-4,07506;0,31365;4,40786
0,5971;-4,5563;1,92979;0,81166
0,5972;-4,5563;1,92979;0,81166
0,5972;-4,95375;2,68159;-1,2115
0,6005;-6,29215;4,59701;-5,54275
0,6016;-6,84523;5,56908;-6,90509
0,6045;-6,50524;7,17085;-6,79256
0,6052;-5,02319;7,70478;-5,49486
0,6074;-4,20674;8,00885;-1,82923
0,6099;-3,11016;7,56351;1,18517
0,6114;-2,85876;7,26902;2,16682
0,6172;-1,30727;6,59383;4,16604
0,6183;-0,91701;6,42623;4,36955
0,6195;-0,91701;6,42623;4,36955
0,6195;-0,44055;6,05752;4,80531
0,6206;-0,36872;5,88034;5,35839
0,623;-0,39506;5,55472;5,59063
0,6258;-0,36872;5,24346;5,92583
0,6267;-0,27774;5,08065;6,02639
0,6297;0,12929;4,8101;6,03597
0,6309;0,57223;4,59461;5,83964
0,6375;0,97686;4,29054;5,72711
0,6375;0,97686;4,29054;5,72711
0,6375;0,9625;4,24026;5,79893
0,6394;0,90504;4,18998;5,94498
0,6413;0,668;4,04632;6,55792
0,6434;0,53392;3,9745;6,99128
0,645;0,18675;3,8069;8,03279
0,6465;-0,17239;3,56747;9,1581
0,6491;-0,34717;3,431;9,71118
0,6509;-0,68237;3,16523;10,75029
0,6583;-1,14207;2,79891;12,3784
0,6597;-1,14207;2,79891;12,3784
0,6597;-1,20193;2,74863;12,58191
0,6597;-1,2139;2,72708;12,71599
0,6606;-1,14446;2,74144;12,87162
0,663;-1,04151;2,83243;12,91232
0,665;-0,98644;2,89707;12,8788
0,6671;-0,93616;3,08383;12,68487
0,6726;-0,93377;3,33044;12,31376
0,6726;-0,95053;3,4717;12,06236
0,6771;-1,087;4,04632;10,74311
0,6771;-1,087;4,04632;10,74311
0,6771;-1,14446;4,18759;10,34806
0,6787;-1,27375;4,48687;9,57471
0,6804;-1,33601;4,63292;9,15331
0,6824;-1,45093;4,90826;8,22194
0,6846;-1,57064;5,1429;7,3169
0,6866;-1,60416;5,24586;6,88833
0,6898;-1,62092;5,45655;6,04315
0,6913;-1,51318;5,50204;5,33205
0,6977;-1,16362;5,57866;3,92661
0,6977;-1,16362;5,57866;3,92661
0,6977;-1,16362;5,57866;3,92661
0,6987;-0,97686;5,56669;3,39029
0,7;-0,91222;5,46613;3,01439
0,7023;-0,90264;5,40627;2,90904
0,7052;-0,89785;5,25064;2,76539
0,7086;-0,9625;5,07826;2,66004
0,709;-1,01038;4,98488;2,61455
0,7104;-1,18038;4,77897;2,53075
0,7163;-1,42938;4,39828;2,27935
0,7163;-1,42938;4,39828;2,27935
0,7173;-1,47966;4,28815;2,20273
0,719;-1,52755;4,17801;2,12372
0,721;-1,57064;3,98647;1,94655
0,7227;-1,55628;3,81408;1,77895
0,7249;-1,52755;3,73507;1,70472
0,7265;-1,42699;3,58902;1,58262
0,7296;-1,37192;3,52198;1,53234
0,7305;-1,35995;3,36156;1,48684
0,7374;-1,19953;3,40705;1,55867
0,7374;-1,20911;3,42381;1,60895
0,7374;-1,20911;3,42381;1,60895
0,7402;-1,22587;3,52437;1,84599
0,7425;-1,21629;3,60817;2,06865
0,7431;-1,16841;3,78295;2,73666
0,7444;-1,13728;3,86915;3,10537
0,7465;-1,0439;4,00802;3,69915
0,7497;-0,8787;4,13012;4,1397
0,7513;-0,78532;4,14688;4,25463
0,7596;-0,32802;4,1421;4,55391
0,7597;-0,1652;4,1421;4,72151
0,7597;-0,1652;4,1421;4,72151
0,7597;0,15563;4,0559;5,0615
0,7611;0,49801;3,9721;5,26022
