time;X_value;Y_value;Z_value
0,9499;-4,53955;1,55388;9,54837
0,9517;-4,79334;1,52276;9,26345
0,9539;-5,26501;1,4629;8,70558
0,9558;-5,50444;1,39107;8,42785
0,9578;-5,96893;1,19474;7,87238
0,96;-6,3568;0,95771;7,34803
0,9654;-6,79016;0,56026;6,62256
0,9654;-6,89551;0,41421;6,40229
0,9667;-6,97931;0,26098;6,20117
0,9685;-7,04156;0,11014;6,01202
0,9706;-7,09184;-0,19633;5,65288
0,9717;-7,05832;-0,34478;5,50204
0,9753;-7,01283;-0,64167;5,28177
0,9771;-6,91467;-0,93137;5,15008
0,9785;-6,84044;-1,05348;5,11896
0,9799;-6,68482;-1,26418;5,13333
0,9866;-6,36638;-1,58022;5,42782
0,9866;-6,36638;-1,58022;5,42782
0,9884;-6,28737;-1,61614;5,54993
0,9892;-6,25145;-1,70951;5,86597
0,9907;-6,31849;-1,77176;6,05273
0,9913;-6,46454;-1,87232;6,42863
0,9936;-6,51722;-1,90824;6,61538
0,996;-6,43342;-1,88429;6,93382
0,9969;-6,02639;-1,71909;7,19001
0,999;-5,71992;-1,59219;7,30972
1,0089;-4,78376;-1,0463;7,70238
1,0089;-4,58504;-0,90504;7,76224
1,0089;-4,58504;-0,90504;7,76224
1,0089;-4,25223;-0,65843;7,90111
1,0096;-4,12294;-0,55308;7,95139
1,0118;-3,85478;-0,35435;7,83646
1,0141;-3,73028;-0,26098;7,60661
1,0156;-3,70873;-0,23464;7,46535
1,0178;-3,75662;-0,21788;7,21156
1,0198;-3,77817;-0,23224;7,13973
1,0275;-3,67521;-0,29928;7,22592
1,0275;-3,67521;-0,29928;7,22592
1,0275;-3,67521;-0,29928;7,22592
1,0281;-3,64409;-0,3328;7,04875
1,0293;-3,57226;-0,43097;6,80692
1,0319;-3,51001;-0,60096;6,63693
1,0341;-3,33522;-0,84757;6,39271
1,0355;-3,17241;-0,94813;6,20596
1,0374;-3,10059;-0,99362;6,11737
1,0398;-2,94256;-1,0439;5,97132
1,0458;-2,94735;-1,0463;5,80612
1,0458;-2,97848;-1,03672;5,76063
1,0458;-2,99524;-1,01757;5,71274
1,0477;-3,00721;-0,98884;5,6864
1,0499;-3,05749;-0,94095;5,71035
1,0515;-3,13411;-0,90264;5,82527
1,0537;-3,21551;-0,91222;5,89949
1,0559;-3,39029;-0,91222;5,96414
1,0577;-3,49085;-0,99362;5,77739
1,0599;-3,52198;-1,23305;5,68401
1,0647;-3,72549;-1,32164;5,4374
1,0647;-3,72549;-1,32164;5,4374
1,0649;-3,77338;-1,31206;5,40148
1,067;-3,84521;-1,23784;5,37515
1,0695;-3,87394;-1,18756;5,37275
1,0713;-3,929;-1,07503;5,38951
1,0739;-3,96731;-0,9194;5,44937
1,0759;-3,99126;-0,83081;5,48768
1,077;-3,99844;-0,62969;5,57866
1,0791;-4,02717;-0,52913;5,65528
1,0857;-4,12294;-0,11014;6,04076
1,0857;-4,12294;-0,11014;6,04076
1,0893;-4,17083;-0,02873;6,1461
1,0893;-4,27139;0,07422;6,32807
1,09;-4,33364;0,18436;6,51243
1,0933;-4,32885;0,22506;6,59383
1,0941;-4,24505;0,28731;6,74467
1,0949;-4,18519;0,31844;6,81889
1,0977;-4,01759;0,39027;6,92903
1,1007;-3,87394;0,419;7,01523
1,1042;-3,74225;0,3759;7,08705
1,1043;-3,70873;0,35196;7,09902
1,1056;-3,68958;0,31604;7,10621
