time;X_value;Y_value;Z_value
0,7852;-2,38928;3,06089;0,33255
0,7877;-2,34774;3,38648;0,3014
0,7891;-2,32697;3,52331;0,29101
0,7947;-2,30253;3,7365;0,26597
0,7947;-2,28298;4,023;0,25619
0,7947;-2,25122;4,25574;0,24398
0,7995;-2,25366;4,44022;0,21282
0,7995;-2,27443;4,26429;0,17984
0,801;-2,26649;4,10486;0,16456
0,803;-2,22434;3,69863;0,15601
0,8053;-2,19319;3,47261;0,15357
0,807;-2,10522;3,00713;0,15418
0,8095;-2,00321;2,54654;0,17556
0,8148;-1,94579;2,34801;0,19144
0,8148;-1,74787;1,8923;0,25009
0,8148;-1,67945;1,77868;0,27818
0,8168;-1,61714;1,67056;0,30628
0,8195;-1,47725;1,47386;0,3631
0,8212;-1,33248;1,28816;0,42357
0,8233;-1,25429;1,20263;0,45289
0,8255;-1,09913;1,0432;0,5097
0,8273;-1,02888;0,96684;0,53536
0,8288;-0,87616;0,83734;0,58606
0,8347;-0,73017;0,76464;0,63004
0,8347;-0,59394;0,73166;0,67219
0,8356;-0,53286;0,72982;0,68869
0,839;-0,41129;0,7512;0,72228
0,8402;-0,35632;0,77014;0,73511
0,8418;-0,25186;0,83062;0,75771
0,8447;-0,20849;0,85505;0,76749
0,8459;-0,12419;0,91736;0,78887
0,8481;-0,05944;0,98089;0,81086
0,85;-0,0295;1,01449;0,8188
0,8548;0,01814;1,08962;0,84934
0,8548;0,05724;1,15865;0,87683
0,8593;0,06946;1,18614;0,89699
0,8599;0,08229;1,23257;0,92692
0,8599;0,08351;1,24845;0,94036
0,8625;0,07618;1,27105;0,96968
0,8649;0,05541;1,28754;0,9929
0,8659;0,03891;1,28754;1,00023
0,8682;-0,00996;1,27594;1,01489
0,8704;-0,09181;1,22035;1,01183
0,8759;-0,14496;1,16965;0,99778
0,8759;-0,26896;1,02671;0,95686
0,8779;-0,34104;0,93813;0,92815
0,878;-0,49681;0,73044;0,8469
0,8805;-0,66664;0,50258;0,74183
0,8807;-0,75032;0,38835;0,68258
0,8828;-0,90365;0,16355;0,55002
0,8847;-1,03926;-0,01665;0,40891
0,8869;-1,09546;-0,08079;0,34355
0,8888;-1,18221;-0,14616;0,21588
0,8942;-1,23963;-0,12783;0,1102
0,8942;-1,26651;-0,04292;0,0204
0,8949;-1,27506;0,02;-0,01992
0,8972;-1,27872;0,09208;-0,05229
0,8985;-1,27261;0,26007;-0,11033
0,9005;-1,2604;0,44027;-0,15858
0,9034;-1,25246;0,53557;-0,17813
0,9046;-1,22741;0,72616;-0,21356
0,9063;-1,19687;0,91553;-0,24288
0,9083;-1,17915;1,01082;-0,25754
0,914;-1,14861;1,1892;-0,27648
0,9142;-1,11257;1,36085;-0,29297
0,9191;-1,09485;1,44637;-0,3003
0,9192;-1,05698;1,61069;-0,31252
0,9192;-1,04049;1,69499;-0,31374
0,9213;-1,00689;1,85993;-0,31619
0,9226;-0,97085;2,01997;-0,3168
0,9246;-0,95496;2,09938;-0,31558
0,9267;-0,92564;2,25577;-0,31497
0,9284;-0,91159;2,33273;-0,31252
0,9344;-0,88349;2,48545;-0,3058
0,9344;-0,86028;2,63389;-0,3003
0,936;-0,85051;2,70658;-0,3003
0,9371;-0,83096;2,85502;-0,29664
0,9394;-0,80775;3,0053;-0,2887
0,9408;-0,79797;3,08349;-0,28931
0,9431;-0,77537;3,23193;-0,29053
0,9453;-0,76376;3,30645;-0,28992
0,9477;-0,73933;3,44634;-0,29725
0,9499;-0,71306;3,57829;-0,31069
0,9542;-0,70268;3,64243;-0,32107
0,9542;-0,66175;3,8263;-0,35711
0,9547;-0,64648;3,888;-0,37239
0,9569;-0,62693;3,95275;-0,38766
0,9591;-0,58173;4,09081;-0,42187
0,9609;-0,52186;4,24352;-0,45302
0,963;-0,49071;4,32171;-0,46646
0,965;-0,41679;4,47382;-0,497
0,9673;-0,37403;4,54712;-0,50983
0,9693;-0,28973;4,66868;-0,53182
0,9735;-0,18711;4,67601;-0,54099
0,9735;-0,0521;4,53613;-0,50494
0,9746;0,01998;4,40968;-0,46707
0,9785;0,17941;4,09019;-0,37544
0,9791;0,26371;3,91427;-0,32474
0,9812;0,41643;3,56363;-0,216
0,9827;0,48668;3,39992;-0,15858
