time;X_value;Y_value;Z_value
Started:;окт. 16 2020;11:35:08:193; 
0,4177;-0,02858;0,29458;-0,22627
0,4205;-0,02674;0,30252;-0,23177
0,4218;-0,01819;0,31291;-0,24032
0,4255;-0,00720;0,32513;-0,24399
0,4264;-0,00536;0,32696;-0,24766
0,4274;0,00380;0,32940;-0,25376
0,4345;0,00930;0,32085;-0,26048
0,4345;0,01785;0,30436;-0,26781
0,4345;0,01907;0,29458;-0,26781
0,4363;0,02762;0,28175;-0,26965
0,4381;0,04534;0,24877;-0,27148
0,4396;0,06366;0,21089;-0,27026
0,4415;0,07283;0,18890;-0,26904
0,4435;0,09665;0,14859;-0,26598
0,4454;0,12414;0,10888;-0,25621
0,4487;0,13636;0,09055;-0,25193
0,4541;0,17057;0,04596;-0,23910
0,4541;0,21027;0,01481;-0,22139
0,4541;0,21027;0,00014;-0,21589
0,4556;0,23410;-0,01940;-0,20184
0,4572;0,24937;-0,02734;-0,19451
0,4597;0,27136;-0,02796;-0,17802
0,4610;0,28602;-0,01940;-0,16336
0,4631;0,29396;-0,01085;-0,16091
0,4662;0,30435;0,00564;-0,14625
0,4678;0,30312;0,02397;-0,13709
0,4735;0,29701;0,03313;-0,13037
0,4735;0,28052;0,05268;-0,11632
0,4746;0,28052;0,05268;-0,11632
0,4758;0,26036;0,05818;-0,10410
0,4791;0,23226;0,05390;-0,09433
0,4802;0,21516;0,04901;-0,08761
0,4820;0,18156;0,03435;-0,07783
0,4843;0,14308;0,01236;-0,06440
0,4874;0,12353;0,00198;-0,06195
0,4894;0,08504;-0,02368;-0,05340
0,4956;0,06244;-0,03529;-0,04973
0,4956;-0,00414;-0,06827;-0,04057
0,4956;-0,02919;-0,07560;-0,03996
0,4960;-0,04935;-0,08538;-0,03996
0,5001;-0,09944;-0,10370;-0,03446
0,5014;-0,13914;-0,11897;-0,02469
0,5017;-0,16236;-0,12814;-0,01919
0,5035;-0,20451;-0,14830;-0,00759
0,5084;-0,22589;-0,15746;-0,00331
0,5084;-0,26681;-0,18067;0,01318
0,5141;-0,30469;-0,21060;0,02907
