time;X_value;Y_value;Z_value
Started:;окт. 22 2020;13:07:16:122; 
0,6213;-0,00718;1,94655;9,93624
0,6229;0,06225;1,95133;9,91469
0,6246;0,17718;1,99204;9,87399
0,6270;0,29210;2,02316;9,83329
0,6287;0,31604;2,04711;9,80934
0,6348;0,38069;2,10696;9,77582
0,6348;0,41900;2,11893;9,75906
0,6349;0,36154;1,91542;9,69202
0,6405;0,66321;2,03034;9,73273
0,6405;0,66321;2,03034;9,73273
0,6411;0,78053;2,15964;9,73512
0,6426;0,97686;2,37991;9,71118
0,6441;1,04869;2,48765;9,67766
0,6468;1,14925;2,64807;9,60822
0,6496;1,17080;2,72229;9,56752
0,6502;1,15165;2,82764;9,56034
0,6533;1,10137;2,89228;9,58189
0,6541;1,06785;2,90426;9,60583
0,6604;1,01278;2,87074;9,65611
0,6611;1,04151;2,84200;9,66329
0,6613;1,04151;2,84200;9,66329
0,6626;1,11334;2,73666;9,67526
0,6640;1,22347;2,61934;9,65132
0,6660;1,29530;2,57385;9,62020
0,6680;1,44375;2,48526;9,52921
0,6700;1,51318;2,44216;9,46696
0,6720;1,64247;2,37991;9,33528
0,6746;1,75261;2,30090;9,16289
0,6801;1,87711;2,16203;8,84445
0,6801;1,87711;2,16203;8,84445
0,6813;1,89148;2,14048;8,80375
0,6820;1,90584;2,12133;8,77023
0,6872;1,86753;2,09020;8,67925
0,6873;1,82683;2,08062;8,65530
0,6888;1,74303;2,06626;8,63854
0,6905;1,70472;2,01119;8,65051
0,6924;1,72388;1,97528;8,69840
0,6952;1,87711;1,90345;8,91867
0,7002;2,25541;1,82923;9,34007
0,7002;2,25541;1,82923;9,34007
0,7008;2,28653;1,75500;9,34964
0,7030;2,23386;1,61135;9,25148
0,7045;2,19794;1,48206;8,79657
0,7063;2,34878;1,59938;8,33686
0,7080;2,48526;1,65444;8,55714
0,7104;2,89468;1,60416;9,52921
0,7131;3,28973;1,57543;10,07750
0,7143;3,45973;1,62332;10,12539
0,7215;3,90746;2,11414;9,77582
0,7215;3,96492;2,11414;9,77582
0,7215;3,96492;2,24822;9,66329
0,7233;4,01280;2,44934;9,60104
0,7266;3,98168;2,49483;9,68005
0,7278;3,84042;2,45174;10,06074
0,7288;3,52677;2,29850;10,53720
0,7306;3,33283;2,21470;10,75029
0,7325;2,97608;2,06386;11,01606
0,7342;2,81088;2,02795;11,08070
0,7401;2,77975;2,04711;10,96099
0,7417;2,77975;2,04711;10,96099
0,7417;2,77975;2,04711;10,96099
0,7430;2,68638;2,02077;10,91071
0,7454;2,69116;2,01359;10,80057
0,7464;2,74144;2,01119;10,74790
0,7495;2,68877;1,92979;10,76466
0,7505;2,51399;1,81965;10,95381
0,7524;2,39427;1,74782;11,12859
0,7545;2,05908;1,62571;11,53083
0,7598;1,91303;1,61135;11,38238
0,7598;1,91303;1,61135;11,38238
0,7613;1,94655;1,61135;11,10465
0,7623;1,98725;1,60656;10,79339
0,7664;2,06865;1,56825;10,23553
0,7664;2,11414;1,50839;9,84765
0,7689;2,12612;1,47966;9,74230
0,7701;2,08062;1,40305;9,68484
0,7733;2,03753;1,37431;9,69681
0,7747;1,96091;1,31446;9,72794
0,7818;2,10457;1,39107;9,86681
0,7819;2,10457;1,39107;9,86681
0,7819;2,23146;1,50839;10,15651
0,7830;2,59779;1,69754;10,89634
0,7853;2,79651;1,72627;11,02564
0,7866;3,16763;1,87232;10,62819
0,7887;3,39269;1,94894;9,87638
0,7917;3,43578;1,99683;9,55555
0,7927;3,55071;2,12612;9,10064
0,7942;3,55550;2,15485;8,96895
0,8001;3,38311;2,25780;9,13895
0,8001;3,30889;2,26498;9,31373
0,8006;3,30889;2,26498;9,31373
0,8031;3,20354;2,26020;9,56992
0,8045;3,08383;2,25062;9,69921
0,8065;3,03355;2,25541;9,74709
0,8091;2,99045;2,26977;9,90033
0,8104;2,99524;2,32724;10,03919
0,8125;2,79651;2,59061;11,12380
0,8145;2,27935;2,83961;12,59867
0,8205;1,37671;2,93538;12,71599
0,8206;1,37671;2,93538;12,71599
0,8211;1,26418;2,92580;12,31136
0,8224;1,20671;2,88271;11,78462
0,8244;1,15883;2,79651;10,90832
0,8274;1,13489;2,75581;10,72396
0,8289;1,09418;2,71750;10,66889
0,8313;1,10376;2,64089;10,66171
0,8334;1,11573;2,56427;10,63537
0,8349;1,07024;2,38470;10,57312
0,8406;1,07982;2,04471;10,16609
0,8406;1,07982;2,04471;10,16609
0,8406;1,11573;1,98964;9,99610
0,8426;1,21869;1,94415;9,80455
0,8446;1,21390;1,87951;9,46457
0,8472;0,50280;1,88190;9,58189
0,8486;-0,32802;1,92979;10,03441
0,8509;-2,97130;2,09978;11,73674
0,8523;-4,66165;2,23386;12,76149
0,8543;-4,55870;2,27696;12,48854
0,8598;-2,54033;2,53075;10,32890
0,8598;-2,54033;2,53075;10,32890
0,8618;-2,07584;2,62173;9,80216
0,8624;-1,32403;2,83961;8,77502
0,8642;-1,03193;2,91383;8,26982
0,8658;-0,59617;3,02636;7,24747
0,8700;-0,26816;3,11974;6,24187
0,8700;-0,13169;3,16523;5,81569
0,8736;0,02155;3,21551;5,30571
0,8739;0,03831;3,22509;5,18839
0,8795;0,04549;3,21551;5,31050
0,8802;0,04549;3,21551;5,31050
0,8803;0,08619;3,21551;5,31050
0,8822;0,11493;3,26340;5,26740
0,8844;0,12211;3,30410;5,19558
0,8859;0,10056;3,31368;5,15966
0,8884;0,04549;3,29692;5,06389
0,8901;-0,01437;3,24903;4,93939
0,8921;-0,07662;3,20115;4,87714
0,8941;-0,23224;3,10537;4,74066
0,9002;-0,67997;2,73187;4,36476
0,9002;-0,67997;2,73187;4,36476
0,9002;-0,82124;2,62891;4,28096
0,9023;-0,98165;2,52596;4,22350
0,9043;-1,33361;2,32005;4,15646
0,9064;-1,71191;2,20273;4,19956
0,9081;-1,89387;2,19076;4,25463
0,9101;-2,27696;2,15964;4,47729
0,9124;-2,69835;2,14288;4,59461
0,9146;-2,92580;2,02316;4,74545
0,9205;-3,84281;2,09020;5,13811
0,9206;-4,05590;2,14766;5,21473
0,9206;-4,05590;2,14766;5,21473
0,9223;-4,43420;2,27456;5,44937
0,9244;-4,60898;2,34639;5,65288
0,9258;-5,02079;2,42540;6,15568
0,9288;-5,44458;2,43977;6,69439
0,9304;-5,59781;2,48047;7,01044
0,9326;-5,81809;2,61455;7,70478
0,9352;-5,87076;2,71750;7,99927
0,9396;-5,68161;3,10298;8,70798
0,9397;-5,58824;3,13650;8,80375
0,9417;-5,58824;3,13650;8,80375
0,9429;-5,32966;3,17720;8,92825
0,9449;-4,98249;3,15565;8,94980
0,9466;-4,82686;3,11256;8,94740
0,9485;-4,64729;2,98327;8,84206
0,9502;-4,65686;2,86834;8,69601
